n,energy(eV),wavelength(nm)
12,13.50407, 
11,13.48619,
10,13.46269,
9, 13.43059,
8, 13.38562,
7, 13.32088,
6, 13.22055,
5, 13.05451,
4, 12.74879,
3, 12.08743,
2, 10.198836, 
